pattern,hier_cell,lut,ff,dsp,slr,bbox
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U47,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U48,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U49,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U55,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U56,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U57,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U63,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U64,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U65,32,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U69,32,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U7,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U73,32,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U77,32,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U8,0,30,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U81,32,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U85,32,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U89,32,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U9,2,24,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_7s_15_4_0_U93,32,37,0,"",""
